"as_of_date","days_delinquent_old","days_delinquent_new","new_outstanding_principal_balance","initial_loan_amount","fico","sales_channel__c","type","current_collection_method","term","lender_payoff","average_bank_balance__c","last_cleared_payment_date"
2012-11-01,11,11,3531.4,20000,699,"FAP: Managed Application Program","Loan - Renewal","ACH Pull",9,0,6879.4,2012-11-01
2012-11-01,53,72,21921.8,45000,652,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",12,0,10398.54,2012-10-26
2012-11-01,1,0,7996.45,13000,551,"Direct","Loan - Renewal","ACH Pull",6,0,3548.19,2012-11-01
2012-11-01,42,61,75000,75000,645,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",12,0,14859.67,2012-08-31
2012-11-01,19,31,12434.33,13000,631,"Referral","Loan - New Customer","ACH Pull",6,0,7412.61,2012-10-24
2012-11-01,32,51,9251.97,10000,573,"Direct","Loan - New Customer","ACH Pull",6,0,34257.31,2012-09-19
2012-11-01,6,25,4548.96,10000,712,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",6,0,2351.98,2012-10-24
2012-11-01,8,8,49800.19,100000,720,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",18,0,33438.44,2012-11-01
2012-11-01,33,52,49377.12,75000,711,"FAP: Managed Application Program","Loan - Renewal","ACH Pull",12,0,10525.4,2012-09-20
2012-11-01,1,13,4705.12,15000,609,"FAP: Managed Application Program","Loan - Renewal","ACH Pull",6,0,3131.06,2012-11-01
2012-11-01,33,50,1669.76,10000,511,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",6,0,2264.47,2012-10-31
2012-11-01,180,0,0,35000,648,"FAP: Managed Application Program","Loan - Renewal","ACH Pull",6,0,25194.01,2010-12-24
2012-11-01,40,59,25194.64,50000,761,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",12,0,8036.31,2012-10-30
2012-11-01,1,1,10636.7,15000,655,"FAP: Managed Application Program","Loan - New Customer","Transfer Account Vendors",12,0,1622.29,2012-11-01
2012-11-01,180,180,29612.9,40000,683,"FAP: Managed Application Program","Loan - Renewal","ACH Pull",6,0,25160.44,2012-11-01
2012-11-01,1,0,12923.42,20000,640,"FAP: Managed Application Program","Loan - New Customer","Transfer Account Vendors",12,0,2791.67,2012-11-01
2012-11-01,26,45,11502.21,15000,592,"Direct","Loan - New Customer","ACH Pull",6,0,2019.45,2012-09-25
2012-11-01,7,11,80000,80000,751,"FAP: Managed Application Program","Loan - New Customer","Split Funding",12,0,1164.06,2012-11-01
2012-11-01,33,38,22605.45,50000,699,"FAP: Managed Application Program","Loan - Renewal","ACH Pull",12,0,5546.74,2012-10-31
2012-11-01,52,71,15000,15000,642,"FAP: Managed Application Program","Loan - Renewal","ACH Pull",6,0,3365.5,2012-08-24
2012-11-01,57,76,6453.42,10000,654,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",6,0,3493.52,2012-09-13
2012-11-01,56,75,25612.32,35000,605,"FAP: Managed Application Program","Loan - Renewal","ACH Pull",6,0,8333.71,2012-08-13
2012-11-01,9,28,35000,35000,683,"FAP: Managed Application Program","Loan - New Customer","Split Funding",12,0,3878.88,2012-10-31
2012-11-01,7,12,26316.51,35000,509,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",6,17236,4931.75,2012-11-01
2012-11-01,11,19,3721.46,12000,595,"FAP: Managed Application Program","Loan - Renewal","ACH Pull",6,0,6327.6,2012-11-01
2012-11-01,180,180,22510.35,50000,641,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",12,16840.99,46445.21,2012-11-01
2012-11-01,62,64,7230.36,20000,536,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",6,11730.96,6213.26,2012-11-01
2012-11-01,1,3,10041.28,15000,625,"Direct","Loan - New Customer","ACH Pull",6,0,2159.63,2012-10-31
2012-11-01,27,37,17960.27,23000,596,"FAP: Managed Application Program","Loan - New Customer","Split Funding",6,12520,3209.72,2012-11-01
2012-11-01,2,8,13978.52,18000,625,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",6,0,4447.46,2012-10-30
2012-11-01,29,48,7006.53,10000,683,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",6,0,3022.38,2012-09-20
2012-11-01,14,0,714.43,35000,637,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",6,0,5632.82,2012-10-31
2012-11-01,5,15,18000,18000,606,"FAP: Managed Application Program","Loan - New Customer","Split Funding",6,0,2941.75,2012-11-01
2012-11-01,42,42,19847.95,35000,592,"FAP: Managed Application Program","Loan - Renewal","ACH Pull",6,0,10130.56,2012-11-01
2012-11-01,45,64,19577.45,35000,657,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",9,0,9448.96,2012-09-06
2012-11-01,17,16,10911.14,25000,536,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",6,0,7024,2012-11-01
2012-11-01,18,0,3067.39,20000,667,"Direct","Loan - Renewal","ACH Pull",6,0,2758.55,2012-11-01
2012-11-01,17,36,32868.71,35000,658,"FAP: Managed Application Program","Loan - Renewal","ACH Pull",6,0,15800.5,2012-10-17
2012-11-01,7,7,11170.08,30000,692,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",9,0,13078.8,2012-11-01
2012-11-01,13,13,41509.35,50000,695,"FAP: Managed Application Program","Loan - Renewal","ACH Pull",12,0,17441.15,2012-11-01
2012-11-01,61,80,40000,40000,689,"Direct","Loan - New Customer","ACH Pull",6,0,13461.46,2012-07-26
2012-11-01,17,36,7771.34,8000,532,"Referral","Loan - New Customer","ACH Pull",6,0,3526.42,2012-10-19
2012-11-01,8,25,7287.1,10000,697,"Direct","Loan - Renewal","ACH Pull",6,0,1785.8,2012-11-01
2012-11-01,4,21,4414.44,15000,717,"Direct","Loan - New Customer","ACH Pull",6,0,15127.4,2012-10-26
2012-11-01,58,77,6890.41,40000,613,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",6,0,21526.16,2012-08-13
2012-11-01,1,0,93541.75,100000,645,"FAP: Managed Application Program","Loan - Renewal","ACH Pull",9,0,13328.08,2012-11-01
2012-11-01,62,81,14697.31,40000,583,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",6,0,38779.38,2012-07-23
2012-11-01,39,58,15000,15000,518,"Direct","Loan - New Customer","ACH Pull",5,0,14469.02,2012-09-12
2012-11-01,19,38,9355.63,10000,578,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",6,0,2463.21,2012-10-04
2012-11-01,22,41,75000,75000,625,"FAP: Managed Application Program","Loan - New Customer","Split Funding",12,0,14640.79,2012-11-01
