"as_of_date","days_delinquent_old","days_delinquent_new","new_outstanding_principal_balance","initial_loan_amount","fico","sales_channel__c","type","current_collection_method","term","lender_payoff","average_bank_balance__c","last_cleared_payment_date"
2012-11-01,10,11,3027.05,10000,639,"Referral","Loan - New Customer","ACH Pull",6,0,9600.36,2012-11-01
2012-11-01,44,63,2550.02,6000,561,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",6,0,2998.06,2012-09-13
2012-11-01,26,35,14849.5,20000,672,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",6,5877.13,4191.99,2012-11-01
2012-11-01,3,10,15077.24,20000,591,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",6,8071.79,2152.59,2012-10-29
2012-11-01,2,2,15000,15000,544,"Direct","Loan - New Customer","ACH Pull",6,0,4553.94,2012-11-01
2012-11-01,3,3,6848.86,35000,739,"FAP: Managed Application Program","Loan - Renewal","ACH Pull",9,0,9101.41,2012-11-01
2012-11-01,17,36,24237.28,25000,623,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",6,8400,2932.26,2012-10-17
2012-11-01,35,54,7857.07,15000,512,"Direct","Loan - New Customer","ACH Pull",6,0,1796.05,2012-09-14
2012-11-01,1,1,35798.54,50000,650,"FAP: Managed Application Program","Loan - New Customer","Transfer Account Vendors",12,0,4442.81,2012-11-01
2012-11-01,52,71,14066.42,15000,590,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",6,0,2118.28,2012-08-21
2012-11-01,14,33,28225.69,35000,652,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",6,0,9914.73,2012-10-29
2012-11-01,42,61,50000,50000,686,"Direct","Loan - Renewal","ACH Pull",9,0,10615.08,2012-08-31
2012-11-01,24,43,7234.51,13000,546,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",6,0,2609.49,2012-10-05
2012-11-01,60,79,10284.82,20000,659,"Direct","Loan - New Customer","ACH Pull",4,0,9678.17,2012-08-07
2012-11-01,3,13,75000,75000,635,"FAP: Managed Application Program","Loan - New Customer","Split Funding",12,0,5379.91,2012-11-01
2012-11-01,6,12,9791.56,14000,616,"FAP: Managed Application Program","Loan - Renewal","ACH Pull",6,0,7246.23,2012-11-01
2012-11-01,22,32,30595.76,45000,677,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",6,1984.4,10797.59,2012-10-04
2012-11-01,11,26,5509,6000,590,"FAP: Managed Application Program","Loan - Renewal","ACH Pull",6,0,3320.74,2012-11-01
2012-11-01,2,3,11381.49,15000,587,"Direct","Loan - New Customer","ACH Pull",6,0,2904.27,2012-11-01
2012-11-01,5,5,72317.34,100000,721,"FAP: Managed Application Program","Loan - Renewal","ACH Pull",12,0,9394.33,2012-11-01
2012-11-01,3,10,40000,40000,681,"FAP: Managed Application Program","Loan - New Customer","Split Funding",12,14932.77,3694.53,2012-11-01
2012-11-01,49,68,14249.43,75000,680,"Direct","Loan - Renewal","ACH Pull",12,0,15201.33,2012-08-24
2012-11-01,8,20,2678.75,10000,604,"Referral","Loan - New Customer","ACH Pull",6,0,2711.25,2012-11-01
2012-11-01,2,0,9185.23,10000,536,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",6,0,3075.88,2012-11-01
2012-11-01,38,38,5906.57,20000,561,"Direct","Loan - Renewal","ACH Pull",6,0,2223.96,2012-11-01
2012-11-01,32,51,13951.74,20000,693,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",6,0,1249.48,2012-09-27
2012-11-01,2,1,17951.49,35000,668,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",6,0,NA,2012-11-01
2012-11-01,24,39,6000,6000,647,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",6,0,1335.75,2012-10-02
2012-11-01,10,10,32047.28,35000,591,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",6,0,46288.49,2012-11-01
2012-11-01,29,38,9859.67,40000,704,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",12,0,7817.99,2012-11-01
2012-11-01,46,61,3633.71,20000,621,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",6,0,12711.18,2012-11-01
2012-11-01,4,4,65000,65000,652,"FAP: Managed Application Program","Loan - Renewal","ACH Pull",18,0,2096,2012-11-01
2012-11-01,6,6,8864.16,50000,621,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",9,0,9369.07,2012-11-01
2012-11-01,51,70,12936.48,15000,556,"Direct","Loan - New Customer","ACH Pull",6,0,14613.46,2012-08-20
2012-11-01,25,28,11143.69,15000,625,"Referral","Loan - New Customer","ACH Pull",6,0,6026.64,2012-11-01
2012-11-01,55,57,3279.41,25000,555,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",9,14353.96,3852.79,2012-10-31
2012-11-01,3,17,30000,30000,600,"FAP: Managed Application Program","Loan - New Customer","Split Funding",9,9135.38,6204.07,2012-11-01
2012-11-01,4,22,25377.94,40000,699,"Direct","Loan - New Customer","ACH Pull",9,0,7367.04,2012-11-01
